datetime	reltime	speed	x	y	z	d	error	integral	derivative	dt	diff_speed
2014-01-12_15:45:02_631453	348833.671875	20.9	48.0	110.0	-74.0	0.0	126.0	54238.03190104167	0.31567542082046984	17.950927734375	0.3288178011394803
2014-01-12_15:45:02_649134	350602.296875	20.8	81.0	159.0	-314.0	0.0	124.0	56453.16959635417	-0.1119569228246163	17.864013671875	-0.09899239112865277
2014-01-12_15:45:02_666840	352372.6875	20.96	21.0	111.0	-301.0	0.0	126.66666666666667	58689.47330729167	0.1510428910553369	17.655029296875	0.16429645245507646
2014-01-12_15:45:02_684754	354163.875	20.33	54.0	76.0	-170.0	0.0	115.33333333333333	60718.78808593751	-0.6441145182924014	17.59521484375	-0.6319739970782087
2014-01-12_15:45:02_702602	355948.890625	19.28	171.0	102.0	-322.0	0.0	96.33333333333333	62440.08789062501	-1.063343717549325	17.8681640625	-1.0530859833370854
2014-01-12_15:45:02_720873	357775.90625	18.71	24.0	80.0	-276.0	0.0	86.0	63970.11523437501	-0.5808175064954072	17.791015625	-0.5715778053430635
2014-01-12_15:45:02_738901	359582.1875	19.5	84.0	119.0	-380.0	0.0	100.33333333333333	65800.41471354167	0.7857244825124908	18.2421875	0.7964158199929596
2014-01-12_15:45:02_757221	361410.6875	18.96	120.0	72.0	-339.0	0.0	90.33333333333333	67424.8709309896	-0.5560835211382334	17.98291015625	-0.5463759390955902
2014-01-12_15:45:02_775448	363237.28125	18.03	30.0	29.0	-244.0	0.0	73.33333333333333	68762.61344401042	-0.9319182537239524	18.241943359375	-0.923897294256179
2014-01-12_15:45:02_794079	365162.171875	18.72	63.0	156.0	-373.0	0.0	85.66666666666667	70323.03930664062	0.6770943630571831	18.215087890625	0.6863642601169161
2014-01-12_15:45:02_813350	367022.984375	18.54	-43.0	61.0	-49.0	0.0	82.0	71947.78442382812	-0.1850546670281018	19.81396484375	-0.17613518918386353
