datetime	x	y	z	d	speed	speed_real
2013-12-28_12:44:35_308475	-314.0	406.0	511.0	14.02	23.3	308
2013-12-28_12:44:35_318390	-512.0	344.0	350.0	13.61	23.4	308
2013-12-28_12:44:35_328365	-512.0	388.0	33.0	14.57	23.5	309
2013-12-28_12:44:35_338198	-512.0	328.0	10.0	13.95	23.6	309
2013-12-28_12:44:35_347883	-512.0	200.0	189.0	11.8	23.7	310
2013-12-28_12:44:35_357658	-512.0	253.0	343.0	13.99	23.8	310
2013-12-28_12:44:35_367553	-512.0	154.0	153.0	14.92	23.9	310
2013-12-28_12:44:35_377357	-512.0	170.0	97.0	13.35	24.0	311
2013-12-28_12:44:35_387287	-491.0	125.0	-63.0	16.07	24.1	311
2013-12-28_12:44:35_397117	-390.0	99.0	-75.0	14.18	24.2	311
2013-12-28_12:44:35_406960	-222.0	140.0	211.0	12.95	24.3	312
2013-12-28_12:44:35_416905	-213.0	88.0	348.0	15.35	24.4	312
2013-12-28_12:44:35_426735	-103.0	112.0	375.0	14.43	24.5	313
2013-12-28_12:44:35_436398	-10.0	109.0	416.0	11.9	24.6	313
2013-12-28_12:44:35_446146	-40.0	121.0	511.0	12.75	24.7	313
2013-12-28_12:44:35_455932	29.0	198.0	511.0	13.53	24.8	314
2013-12-28_12:44:35_465755	163.0	70.0	443.0	13.57	24.9	314
2013-12-28_12:44:35_475598	63.0	257.0	445.0	14.36	25.0	315
2013-12-28_12:44:35_485403	132.0	271.0	511.0	14.23	25.1	315
2013-12-28_12:44:35_495357	146.0	194.0	511.0	13.29	25.2	315
2013-12-28_12:44:35_505065	54.0	324.0	511.0	12.26	25.3	316
2013-12-28_12:44:35_514760	109.0	288.0	511.0	12.14	25.4	316
2013-12-28_12:44:35_524627	11.0	191.0	511.0	13.94	25.5	316
2013-12-28_12:44:35_534437	25.0	229.0	511.0	13.09	25.6	317
2013-12-28_12:44:35_544348	-37.0	267.0	443.0	13.55	25.7	317
2013-12-28_12:44:35_554088	-64.0	235.0	506.0	12.36	25.8	318
2013-12-28_12:44:35_563881	-118.0	58.0	434.0	14.11	25.9	318
2013-12-28_12:44:35_573702	-149.0	205.0	461.0	14.13	26.0	318
2013-12-28_12:44:35_583533	-367.0	110.0	365.0	13.79	26.1	319
2013-12-28_12:44:35_593293	-512.0	158.0	113.0	12.21	26.2	319
2013-12-28_12:44:35_603058	-512.0	206.0	99.0	12.92	26.3	319
2013-12-28_12:44:35_612932	-512.0	186.0	67.0	14.33	26.4	320
2013-12-28_12:44:35_622724	-512.0	234.0	-87.0	12.85	26.5	320
2013-12-28_12:44:35_632672	-512.0	254.0	-172.0	15.39	26.6	321
2013-12-28_12:44:35_642399	-512.0	249.0	126.0	13.84	26.7	321
2013-12-28_12:44:35_652451	-512.0	315.0	325.0	13.31	26.8	321
2013-12-28_12:44:35_662429	-306.0	288.0	407.0	15.28	26.9	322
2013-12-28_12:44:35_672372	-193.0	329.0	511.0	14.75	27.0	322
2013-12-28_12:44:35_682179	234.0	296.0	511.0	12.75	27.1	322
2013-12-28_12:44:35_691994	511.0	313.0	511.0	13.18	27.2	323
2013-12-28_12:44:35_701809	511.0	25.0	511.0	13.55	27.3	323
2013-12-28_12:44:35_711654	400.0	78.0	511.0	14.19	27.4	324
2013-12-28_12:44:35_721468	-217.0	298.0	-512.0	14.04	27.5	324
2013-12-28_12:44:35_731316	241.0	282.0	-200.0	14.79	27.6	324
2013-12-28_12:44:35_741534	511.0	325.0	230.0	20.38	27.7	325
2013-12-28_12:44:35_751390	315.0	56.0	511.0	13.01	27.8	325
2013-12-28_12:44:35_761135	-29.0	34.0	511.0	13.7	27.9	326
2013-12-28_12:44:35_770887	-512.0	186.0	511.0	12.68	28.0	326
2013-12-28_12:44:35_780700	-512.0	247.0	292.0	13.62	28.1	326
2013-12-28_12:44:35_790534	-512.0	474.0	-5.0	14.28	28.2	327
2013-12-28_12:44:35_800407	-512.0	397.0	133.0	13.99	28.3	327
2013-12-28_12:44:35_810167	22.0	324.0	477.0	13.29	28.4	327
2013-12-28_12:44:35_819860	511.0	259.0	511.0	12.65	28.5	328
2013-12-28_12:44:35_829559	381.0	260.0	511.0	13.02	28.6	328
2013-12-28_12:44:35_839371	40.0	145.0	511.0	12.53	28.7	329
2013-12-28_12:44:35_849129	-425.0	186.0	511.0	13.02	28.8	329
2013-12-28_12:44:35_858942	-512.0	161.0	-72.0	14.35	28.9	329
2013-12-28_12:44:35_868788	-246.0	-60.0	-512.0	14.32	29.0	330
2013-12-28_12:44:35_878920	136.0	-13.0	-512.0	18.63	29.1	330
2013-12-28_12:44:35_889061	511.0	-268.0	-512.0	19.3	29.2	330
2013-12-28_12:44:35_899161	511.0	-162.0	-512.0	18.89	29.3	331
2013-12-28_12:44:35_909407	511.0	2.0	-291.0	20.23	29.4	331
2013-12-28_12:44:35_919752	472.0	145.0	-226.0	21.04	29.5	332
2013-12-28_12:44:35_929961	-369.0	115.0	-512.0	20.55	29.6	332
2013-12-28_12:44:35_940167	-382.0	317.0	-512.0	20.88	29.7	332
2013-12-28_12:44:35_950318	262.0	235.0	-244.0	18.51	29.8	333
2013-12-28_12:44:35_960127	313.0	412.0	472.0	14.53	29.9	333
