datetime	reltime	speed	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed
2014-02-01_23:34:57_905759	443974.5	19.28	51.0	179.0	-335.0	-3.618320610687023	13.893129770992367	-1.16793893129771	-0.3375244140625	0.091064453125	0.6585693359375	0.0	0.0	-22.87	-3.8973042856842586	-0.1359840992911465	3.8973042856842586	4.607436739685468	81.4224269977944	0.01	1e-05	0.01	0.06661328125	0.8532433872021835
2014-02-01_23:34:57_972520	450661.5	20.0	-22.0	23.0	-151.0	-5.641221374045801	20.557251908396946	-4.526717557251908	-0.7044677734375	-0.2900390625	1.4156494140625	0.0	0.0	-2.64	-8.214274465135999	-0.2866111118330774	8.214274465135999	5.158013727040783	64.40657478649652	0.01	1e-05	0.01	0.06702685546875	0.7262600726535956
2014-02-01_23:34:58_039655	457365.078125	20.94	45.0	87.0	-217.0	-5.564885496183206	24.129770992366414	-4.923664122137405	-0.515625	0.2279052734375	1.3883056640625	0.0	0.0	-10.19	-13.603149320037346	-0.47463884577939097	13.603149320037346	6.065751615480365	80.7564278761476	0.01	1e-05	0.01	0.06672998046875	0.9436564294780042
2014-02-01_23:34:58_106657	464091.796875	21.58	-23.0	-14.0	-230.0	-4.732824427480916	21.587786259541986	0.35877862595419846	-0.05712890625	0.285400390625	0.357421875	0.0	0.0	1.61	-16.734891815959447	-0.5839110891821161	16.734891815959447	7.184378625970352	46.851516522690225	0.01	1e-05	0.01	0.066843994140625	0.6359359271727565
2014-02-01_23:34:58_173844	470783.5	22.28	80.0	81.0	-213.0	-5.32824427480916	18.83969465648855	-3.4732824427480917	-0.64697265625	-0.356689453125	0.9822998046875	0.0	0.0	-9.46	-20.071969034049026	-0.7003478378942437	20.071969034049026	8.527573624074073	49.86745087666879	0.01	1e-05	0.01	0.0669189453125	0.6994794748434189
2014-02-01_23:34:58_240828	477482.578125	22.87	52.0	103.0	-109.0	-5.175572519083969	14.870229007633588	-4.175572519083969	-0.394287109375	0.1688232421875	1.53271484375	0.0	0.0	-12.17	-22.501958085132944	-0.7851346156710727	22.501958085132944	10.038869075065769	36.18055737476229	0.01	1e-05	0.01	0.067162841796875	0.586925543289703
2014-02-01_23:34:58_307956	484198.40625	22.92	-14.0	74.0	-113.0	-4.099236641221374	1.5038167938931297	0.4122137404580153	-0.5458984375	-0.294677734375	0.7388916015625	0.0	0.0	-8.61	-21.436434612293787	-0.747956546137257	21.436434612293787	11.468793354104823	-15.973590062216804	0.01	1e-05	0.01	0.066705322265625	0.054743133434310864
2014-02-01_23:34:58_374969	490896.203125	22.18	129.0	75.0	-271.0	-4.66412213740458	-21.96946564885496	2.5343511450381677	-0.223388671875	0.4068603515625	-0.1644287109375	0.0	0.0	-8.73	-15.424968800191632	-0.5382054710464631	15.424968800191632	12.50120429076804	-89.81566283556604	0.01	1e-05	0.01	0.06693115234375	-0.7437819283108364
2014-02-01_23:34:58_441905	497590.1875	21.13	137.0	90.0	-297.0	-3.4656488549618323	-32.778625954198475	0.3282442748091603	-0.5169677734375	-0.4578857421875	0.624755859375	0.0	0.0	-10.55	-7.857810506053491	-0.27417343007862843	7.857810506053491	13.02761236870751	-112.95665556159236	0.01	1e-05	0.01	0.06699169921875	-1.0508581744317016
2014-02-01_23:34:58_508852	504284.09375	19.5	66.0	78.0	-137.0	-3.572519083969466	-50.16030534351145	6.786259541984733	-0.161376953125	-0.192626953125	0.1387939453125	0.0	0.0	-9.09	2.828759106985034	0.09870059689410446	-2.828759106985034	12.838535098915159	-159.88030263241714	0.01	1e-05	0.01	0.066841064453125	-1.6269622320430326
2014-02-01_23:34:58_575887	510987.90625	17.91	61.0	61.0	-132.0	-1.2213740458015268	-50.16793893129771	7.9465648854961835	-0.1241455078125	0.2435302734375	1.0623779296875	0.0	0.0	-7.06	12.630404375693825	0.44069798938219906	-12.630404375693825	11.99593356403443	-146.92442176529156	0.01	1e-05	0.01	0.066712158203125	-1.5954283020742135
2014-02-01_23:34:58_642974	517700.296875	16.14	-34.0	47.0	-102.0	-2.549618320610687	-56.083969465648856	7.534351145038168	-0.1197509765625	0.0198974609375	0.5489501953125	0.0	0.0	-5.42	22.935072572515836	0.8002467750354444	-22.935072572515836	10.460017220842618	-153.8744697765701	0.01	1e-05	0.01	0.066968017578125	-1.7679908233186508
