datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	angle	error	integral	derivative	Kp	Ki	Kd	pid_output	target_angleRate2	error2	integral2	derivative2	Kp2	Ki2	Kd2	pid_output2	pitch_offset_force	pitch_offset	dt	m1_pos	m2_pos	m1_percent	m2_percent	sleep_time	sensor_time	getch_time	pid_time	motors_time	curses_time
2014-06-12_22:45:07_431193	1753959.0	0.0	0.0	0.0	-1.636	-15.633	2.526	0.229	0.301	-1.046	0.0	-90.0	-23.073	23.073	1000.0	-15.633	0.08	0.0	0.0	1.856	1.856	0	0	0	0.08	0.0	0.0	0.0	0.0	1.856	20.31	235.0	254.0	0.041	0.09	-0.0102	0.0063	0.0035	0.0002	0.0034	0.0054
2014-06-12_22:45:07_451406	1774213.0	0.0	0.0	0.0	-0.682	-12.847	1.846	0.201	-0.072	-0.755	0.0	-90.0	-24.158	24.158	1000.0	-12.847	0.08	0.0	0.0	1.943	1.943	0	0	0	0.08	0.0	0.0	0.0	0.0	1.943	20.142	235.0	254.0	0.041	0.091	-0.01	0.0063	0.0034	0.0002	0.0035	0.0053
2014-06-12_22:45:07_471721	1794486.0	0.0	0.0	0.0	-0.918	-16.297	0.014	0.142	-0.191	-1.473	0.0	-89.99	-25.153	25.153	1000.0	-16.297	0.08	0.0	0.0	2.022	2.022	0	0	0	0.08	0.0	0.0	0.0	0.0	2.022	20.116	235.0	255.0	0.04	0.092	-0.01	0.0063	0.0035	0.0002	0.0035	0.0053
2014-06-12_22:45:07_491976	1814738.0	0.0	0.0	0.0	1.532	-16.175	-1.955	0.02	0.153	-0.837	0.0	-89.95	-26.131	26.131	1000.0	-16.175	0.08	0.0	0.0	2.1	2.1	0	0	0	0.08	0.0	0.0	0.0	0.0	2.1	20.09	234.0	255.0	0.039	0.093	-0.01	0.0063	0.0034	0.0002	0.0035	0.0053
2014-06-12_22:45:07_512141	1834941.0	0.0	0.0	0.0	-0.552	-22.053	-2.81	-0.03	0.296	-1.007	0.0	89.96	-23.377	23.377	1000.0	-22.053	0.08	0.0	0.0	1.88	1.88	0	0	0	0.08	0.0	0.0	0.0	0.0	1.88	20.007	235.0	254.0	0.041	0.091	-0.01	0.0063	0.0033	0.0002	0.0034	0.0054
2014-06-12_22:45:07_532485	1855288.0	0.0	0.0	0.0	0.838	-10.946	-2.734	-0.138	0.289	-0.781	0.0	90.0	-20.893	20.893	1000.0	-10.946	0.08	0.0	0.0	1.681	1.681	0	0	0	0.08	0.0	0.0	0.0	0.0	1.681	20.158	236.0	253.0	0.043	0.088	-0.0101	0.0064	0.0034	0.0002	0.0035	0.0053
2014-06-12_22:45:07_552865	1875627.0	0.0	0.0	0.0	1.005	-16.328	-0.375	-0.043	0.162	-0.72	0.0	89.98	-18.353	18.353	1000.0	-16.328	0.08	0.0	0.0	1.478	1.478	0	0	0	0.08	0.0	0.0	0.0	0.0	1.478	20.148	237.0	252.0	0.045	0.086	-0.0101	0.0063	0.0035	0.0002	0.0035	0.0053
2014-06-12_22:45:07_573013	1895776.0	0.0	0.0	0.0	-0.598	-25.74	1.465	0.105	-0.123	-1.09	0.0	-89.99	-19.28	19.28	1000.0	-25.74	0.08	0.0	0.0	1.552	1.552	0	0	0	0.08	0.0	0.0	0.0	0.0	1.552	20.069	236.0	253.0	0.044	0.087	-0.0099	0.0064	0.0033	0.0002	0.0034	0.0053
2014-06-12_22:45:07_593199	1915965.0	0.0	0.0	0.0	-1.704	-24.587	2.19	0.031	-0.28	-1.077	0.0	-89.96	-20.21	20.21	1000.0	-24.587	0.08	0.0	0.0	1.627	1.627	0	0	0	0.08	0.0	0.0	0.0	0.0	1.627	20.037	236.0	253.0	0.044	0.088	-0.01	0.0064	0.0033	0.0002	0.0035	0.0052
2014-06-12_22:45:07_613411	1936207.0	0.0	0.0	0.0	-0.949	-23.885	2.816	-0.066	0.041	-1.237	0.0	89.98	-17.54	17.54	1000.0	-23.885	0.08	0.0	0.0	1.413	1.413	0	0	0	0.08	0.0	0.0	0.0	0.0	1.413	19.917	237.0	252.0	0.046	0.085	-0.01	0.0064	0.0033	0.0002	0.0035	0.0053
2014-06-12_22:45:07_633750	1956513.0	0.0	0.0	0.0	-1.369	-31.557	0.427	-0.256	0.438	-1.057	0.0	90.0	-14.768	14.768	1000.0	-31.557	0.08	0.0	0.0	1.191	1.191	0	0	0	0.08	0.0	0.0	0.0	0.0	1.191	20.087	238.0	251.0	0.048	0.083	-0.0101	0.0063	0.0033	0.0002	0.0035	0.0055
2014-06-12_22:45:07_654134	1976900.0	0.0	0.0	0.0	-3.727	-30.923	-1.558	-0.247	0.61	-1.102	0.0	90.0	-12.056	12.056	1000.0	-30.923	0.08	0.0	0.0	0.975	0.975	0	0	0	0.08	0.0	0.0	0.0	0.0	0.975	20.343	239.0	250.0	0.05	0.08	-0.0102	0.0064	0.0035	0.0002	0.0035	0.0054
2014-06-12_22:45:07_674237	1996998.0	0.0	0.0	0.0	0.395	-32.221	0.312	-0.016	0.605	-0.686	0.0	89.95	-9.382	9.382	1000.0	-32.221	0.08	0.0	0.0	0.761	0.761	0	0	0	0.08	0.0	0.0	0.0	0.0	0.761	20.103	239.0	249.0	0.052	0.078	-0.0098	0.0064	0.0033	0.0002	0.0035	0.0052
2014-06-12_22:45:07_694545	2017308.0	0.0	0.0	0.0	1.334	-28.167	1.633	0.093	0.684	-0.576	0.0	-90.0	-10.441	10.441	1000.0	-28.167	0.08	0.0	0.0	0.845	0.845	0	0	0	0.08	0.0	0.0	0.0	0.0	0.845	20.041	239.0	249.0	0.052	0.079	-0.01	0.0063	0.0034	0.0002	0.0035	0.0053
2014-06-12_22:45:07_714615	2037414.0	0.0	0.0	0.0	0.815	-23.969	2.442	0.137	0.419	-0.997	0.0	-90.0	-11.563	11.563	1000.0	-23.969	0.08	0.0	0.0	0.935	0.935	0	0	0	0.08	0.0	0.0	0.0	0.0	0.935	19.972	239.0	250.0	0.051	0.08	-0.01	0.0063	0.0033	0.0002	0.0035	0.0052
2014-06-12_22:45:07_734980	2057741.0	0.0	0.0	0.0	0.967	-31.618	-2.291	0.152	-0.208	-1.34	0.0	-89.99	-12.507	12.507	1000.0	-31.618	0.08	0.0	0.0	1.011	1.011	0	0	0	0.08	0.0	0.0	0.0	0.0	1.011	20.141	238.0	250.0	0.05	0.081	-0.01	0.0063	0.0034	0.0002	0.0035	0.0052
2014-06-12_22:45:07_755298	2078062.0	0.0	0.0	0.0	-1.636	-29.145	-2.276	-0.027	-0.274	-1.119	0.0	89.95	-9.88	9.88	1000.0	-29.145	0.08	0.0	0.0	0.8	0.8	0	0	0	0.08	0.0	0.0	0.0	0.0	0.8	20.245	239.0	249.0	0.052	0.078	-0.0102	0.0062	0.0036	0.0002	0.0035	0.0051
