datetime	x	y	z	d	speed	speed_real
2013-12-28_12:42:41_939661	-493.0	388.0	165.0	13.79	22.2	304
2013-12-28_12:42:41_949542	-88.0	112.0	86.0	14.11	22.3	304
2013-12-28_12:42:41_959248	-441.0	184.0	182.0	12.95	22.4	305
2013-12-28_12:42:41_969383	-512.0	190.0	50.0	19.45	22.5	305
2013-12-28_12:42:41_979591	-476.0	189.0	-82.0	20.45	22.6	305
2013-12-28_12:42:41_989501	-402.0	168.0	-140.0	14.02	22.7	306
2013-12-28_12:42:41_999254	-512.0	279.0	-94.0	12.58	22.8	306
2013-12-28_12:42:42_009093	-512.0	217.0	-90.0	13.94	22.9	307
2013-12-28_12:42:42_018929	-512.0	240.0	-27.0	13.84	23.0	307
2013-12-28_12:42:42_028760	-498.0	286.0	264.0	13.38	23.1	307
2013-12-28_12:42:42_038588	-486.0	465.0	511.0	13.43	23.2	308
2013-12-28_12:42:42_048522	-352.0	303.0	511.0	13.91	23.3	308
2013-12-28_12:42:42_058330	18.0	252.0	511.0	13.51	23.4	308
2013-12-28_12:42:42_068401	319.0	492.0	511.0	13.97	23.5	309
2013-12-28_12:42:42_078203	421.0	287.0	494.0	14.67	23.6	309
2013-12-28_12:42:42_088360	503.0	203.0	237.0	19.57	23.7	310
2013-12-28_12:42:42_098164	384.0	330.0	136.0	13.4	23.8	310
2013-12-28_12:42:42_108001	71.0	370.0	-214.0	13.77	23.9	310
2013-12-28_12:42:42_117819	-177.0	296.0	-505.0	13.46	24.0	311
2013-12-28_12:42:42_127645	-271.0	311.0	-512.0	13.99	24.1	311
2013-12-28_12:42:42_137863	-312.0	136.0	-512.0	20.31	24.2	311
2013-12-28_12:42:42_148037	-123.0	53.0	-512.0	19.7	24.3	312
2013-12-28_12:42:42_157866	109.0	51.0	-512.0	14.94	24.4	312
2013-12-28_12:42:42_167777	417.0	143.0	-512.0	15.23	24.5	313
2013-12-28_12:42:42_177559	511.0	107.0	-512.0	12.99	24.6	313
2013-12-28_12:42:42_187453	511.0	-238.0	-512.0	14.25	24.7	313
2013-12-28_12:42:42_197241	511.0	26.0	-512.0	13.18	24.8	314
2013-12-28_12:42:42_207068	163.0	318.0	-512.0	13.5	24.9	314
2013-12-28_12:42:42_216874	-101.0	159.0	-512.0	13.8	25.0	315
2013-12-28_12:42:42_226754	-472.0	85.0	-512.0	14.67	25.1	315
2013-12-28_12:42:42_236613	-61.0	252.0	-512.0	14.04	25.2	315
2013-12-28_12:42:42_246373	23.0	183.0	246.0	13.09	25.3	316
2013-12-28_12:42:42_256186	144.0	491.0	511.0	13.91	25.4	316
2013-12-28_12:42:42_266566	90.0	-102.0	-512.0	21.35	25.5	316
2013-12-28_12:42:42_276570	472.0	149.0	-512.0	14.5	25.6	317
2013-12-28_12:42:42_286759	511.0	-268.0	-512.0	19.4	25.7	317
2013-12-28_12:42:42_296940	511.0	256.0	-402.0	20.2	25.8	318
2013-12-28_12:42:42_307195	305.0	87.0	-509.0	20.13	25.9	318
2013-12-28_12:42:42_317413	-335.0	84.0	-458.0	19.84	26.0	318
2013-12-28_12:42:42_327348	-393.0	159.0	-512.0	14.91	26.1	319
2013-12-28_12:42:42_338256	-192.0	233.0	-512.0	20.13	26.2	319
2013-12-28_12:42:42_348233	121.0	191.0	190.0	13.57	26.3	319
2013-12-28_12:42:42_358075	-208.0	372.0	511.0	15.0	26.4	320
2013-12-28_12:42:42_367955	-308.0	313.0	511.0	14.77	26.5	320
2013-12-28_12:42:42_377758	-512.0	156.0	-39.0	13.36	26.6	321
2013-12-28_12:42:42_387598	-512.0	439.0	-164.0	13.65	26.7	321
2013-12-28_12:42:42_397478	-134.0	511.0	326.0	13.87	26.8	321
2013-12-28_12:42:42_407353	511.0	230.0	431.0	15.13	26.9	322
2013-12-28_12:42:42_417223	-307.0	403.0	-512.0	14.6	27.0	322
2013-12-28_12:42:42_427106	89.0	268.0	-181.0	13.75	27.1	322
2013-12-28_12:42:42_436872	329.0	-78.0	511.0	13.45	27.2	323
2013-12-28_12:42:42_446793	0.0	70.0	511.0	13.33	27.3	323
2013-12-28_12:42:42_456955	-512.0	32.0	22.0	18.97	27.4	324
2013-12-28_12:42:42_466838	-233.0	38.0	-293.0	13.8	27.5	324
2013-12-28_12:42:42_476712	511.0	182.0	211.0	14.51	27.6	324
2013-12-28_12:42:42_486576	511.0	60.0	350.0	14.55	27.7	325
2013-12-28_12:42:42_496419	212.0	229.0	179.0	14.19	27.8	325
2013-12-28_12:42:42_506242	-484.0	143.0	-434.0	13.99	27.9	326
2013-12-28_12:42:42_516111	-463.0	-25.0	-512.0	13.87	28.0	326
2013-12-28_12:42:42_526063	511.0	-309.0	-512.0	15.78	28.1	326
2013-12-28_12:42:42_535884	511.0	123.0	-403.0	13.58	28.2	327
2013-12-28_12:42:42_545845	-8.0	51.0	-179.0	16.57	28.3	327
2013-12-28_12:42:42_555645	-443.0	7.0	-512.0	14.26	28.4	327
2013-12-28_12:42:42_565801	61.0	296.0	-512.0	19.53	28.5	328
2013-12-28_12:42:42_575816	140.0	460.0	501.0	17.79	28.6	328
2013-12-28_12:42:42_585828	-512.0	320.0	511.0	17.36	28.7	329
2013-12-28_12:42:42_595675	-512.0	272.0	10.0	14.18	28.8	329
2013-12-28_12:42:42_605551	511.0	483.0	139.0	13.85	28.9	329
2013-12-28_12:42:42_615720	511.0	93.0	280.0	20.01	29.0	330
2013-12-28_12:42:42_625683	-512.0	51.0	-170.0	15.84	29.1	330
2013-12-28_12:42:42_636326	-229.0	-45.0	-512.0	27.2	29.2	330
2013-12-28_12:42:42_646691	-512.0	347.0	-3.0	23.15	29.3	331
2013-12-28_12:42:42_657120	511.0	342.0	210.0	23.27	29.4	331
2013-12-28_12:42:42_667506	511.0	241.0	274.0	22.81	29.5	332
2013-12-28_12:42:42_677502	-306.0	196.0	-31.0	15.9	29.6	332
2013-12-28_12:42:42_688056	-512.0	60.0	-512.0	26.42	29.7	332
2013-12-28_12:42:42_698284	511.0	-92.0	-512.0	20.82	29.8	333
2013-12-28_12:42:42_708451	511.0	-367.0	-320.0	17.61	29.9	333
2013-12-28_12:42:42_718991	-268.0	234.0	-53.0	25.84	30.0	334
2013-12-28_12:42:42_729207	-384.0	150.0	-161.0	20.65	30.1	334
2013-12-28_12:42:42_739863	-306.0	-144.0	-512.0	27.49	30.2	334
2013-12-28_12:42:42_750059	511.0	186.0	-512.0	19.94	30.3	335
2013-12-28_12:42:42_760969	511.0	-19.0	-198.0	33.83	30.4	335
2013-12-28_12:42:42_771505	-512.0	267.0	-304.0	24.09	30.5	335
2013-12-28_12:42:42_782164	268.0	117.0	-512.0	27.4	30.6	336
2013-12-28_12:42:42_792526	218.0	-244.0	-512.0	21.72	30.7	336
2013-12-28_12:42:42_802779	511.0	-176.0	-512.0	20.32	30.8	337
2013-12-28_12:42:42_812831	-252.0	150.0	182.0	17.1	30.9	337
2013-12-28_12:42:42_841139	-89.0	260.0	-512.0	35.68	31.0	337
2013-12-28_12:42:42_851569	-412.0	468.0	414.0	22.59	31.1	338
2013-12-28_12:42:42_862547	511.0	242.0	35.0	32.64	31.2	338
2013-12-28_12:42:42_872753	-436.0	10.0	-208.0	20.28	31.3	338
2013-12-28_12:42:42_883976	-446.0	59.0	-512.0	36.33	31.4	339
2013-12-28_12:42:42_894171	511.0	-389.0	-512.0	19.04	31.5	339
2013-12-28_12:42:42_905363	511.0	23.0	-12.0	37.23	31.6	340
2013-12-28_12:42:42_915615	-512.0	247.0	-436.0	20.69	31.7	340
2013-12-28_12:42:42_925828	162.0	-512.0	-512.0	20.13	31.8	340
2013-12-28_12:42:42_936051	511.0	182.0	-512.0	20.69	31.9	341
