datetime	reltime	adxlx	adxly	adxlz	gyrox	gyroy	gyroz	mpu_accelx	mpu_accely	mpu_accelz	distance	atan	asin	angle	angle_rad	error	integral	derivative	Kp	Ki	Kd	dt	diff_speed	Motor0	Motor1
2014-03-08_09:48:52_103194	2090011.0	-43.0	-98.0	-285.0	-3.8026717557251906	43.98148854961832	-2.491984732824428	-0.793359375	1.01416015625	-0.939208984375	0.0	8.58	0.0	35.627944100142194	0.6217791291473332	-35.627944100142194	-27348.315077704254	43.98148854961832	0.005	0	0.0	54.162841796875	-0.17813972050071097	221	241
2014-03-08_09:48:52_149054	2135866.0	-63.0	-97.0	-264.0	-1.6881679389312967	58.66851145038167	-2.2782442748091607	-0.367822265625	0.1611328125	-1.0498046875	0.0	13.42	0.0	32.53568230390451	0.5678129546929234	-32.53568230390451	-28846.87079460067	58.66851145038167	0.005	0	0.0	46.058837890625	-0.16267841151952253	220	242
2014-03-08_09:48:52_202167	2188985.0	-148.0	77.0	-227.0	0.9759541984732829	71.118893129771	0.9278625954198473	0.267431640625	-0.658447265625	-1.15478515625	0.0	33.11	0.0	28.90968426526718	0.5045320116102475	-28.90968426526718	-30355.644348392994	71.118893129771	0.005	0	0.0	52.189208984375	-0.1445484213263359	220	242
2014-03-08_09:48:52_250819	2237646.0	-132.0	103.0	-259.0	0.9683206106870235	83.5692748091603	0.6683206106870229	-0.238916015625	-0.402099609375	-0.719970703125	0.0	27.01	0.0	24.91687365497242	0.4348494529663599	-24.91687365497242	-31558.85681762256	83.5692748091603	0.005	0	0.0	48.2890625	-0.1245843682748621	220	243
2014-03-08_09:48:52_301417	2288279.0	-37.0	-19.0	-273.0	-2.0240458015267166	99.95095419847328	-3.7362595419847326	-0.53408203125	1.183349609375	-1.218017578125	0.0	7.72	0.0	19.604794929293956	0.3421430179632453	-19.604794929293956	-32553.21144207712	99.95095419847328	0.005	0	0.0	50.719970703125	-0.09802397464646978	220	243
2014-03-08_09:48:52_350620	2337443.0	-36.0	-60.0	-269.0	-0.31412213740457906	121.51583969465649	0.34007633587786257	0.23251953125	-0.27099609375	-0.932861328125	0.0	7.62	0.0	13.489965243274169	0.23542696759640783	-13.489965243274169	-33218.751524196465	121.51583969465649	0.005	0	0.0	49.3359375	-0.06744982621637084	220	243
2014-03-08_09:48:52_401305	2388127.0	26.0	-25.0	-257.0	0.22022900763358866	145.72194656488549	0.431679389312977	0.009374999999999994	-0.1552734375	-0.82958984375	0.0	-5.78	0.0	5.892702722144117	0.10283948904265475	-5.892702722144117	-33516.33876625724	145.72194656488549	0.005	0	0.0	50.5009765625	-0.029463513610720585	220	244
2014-03-08_09:48:52_451103	2437930.0	55.0	-22.0	-257.0	2.960687022900764	163.49293893129772	-6.1408396946564885	0.09677734375	0.52685546875	-0.849853515625	0.0	-12.08	0.0	-2.413175181920507	-0.042114750120776735	2.413175181920507	-33396.655057191994	163.49293893129772	0.005	0	0.0	49.595947265625	0.012065875909602536	220	244
2014-03-08_09:48:52_501516	2488339.0	105.0	-12.0	-258.0	1.2660305343511458	191.82118320610687	0.4469465648854961	0.485693359375	-1.04150390625	-0.961669921875	0.0	-22.15	0.0	-12.286254267323606	-0.21441979524124968	12.286254267323606	-32777.168079028175	191.82118320610687	0.005	0	0.0	50.421142578125	0.061431271336618035	220	243
2014-03-08_09:48:52_551297	2538112.0	116.0	104.0	-241.0	-4.275954198473283	214.44713740458016	-1.5912213740458019	0.36435546875	-0.546142578125	-0.888916015625	0.0	-25.7	0.0	-22.99301033782509	-0.4012741769253943	22.99301033782509	-31635.12389246108	214.44713740458016	0.005	0	0.0	49.669189453125	0.11496505168912545	220	243
2014-03-08_09:48:52_602564	2589385.0	138.0	-135.0	-223.0	-0.2683206106870224	242.02729007633587	-2.3393129770992367	-2.1	1.37451171875	-2.0	0.0	-31.75	0.0	-35.14446087314952	-0.6133413764947561	35.14446087314952	-29860.577443895672	242.02729007633587	0.005	0	0.0	50.492919921875	0.1757223043657476	220	242
2014-03-08_09:48:52_652433	2639260.0	20.0	-110.0	-193.0	-27.665267175572517	-88.35438931297709	5.584351145038168	0.62119140625	1.99993896484375	1.162109375	0.0	-5.92	0.0	-30.26829579113928	-0.5282425094439666	30.26829579113928	-28360.36069542342	-88.35438931297709	0.005	0	0.0	49.56396484375	0.1513414789556964	220	242
2014-03-08_09:48:52_702374	2689229.0	218.0	90.0	-205.0	0.33473282442748165	-11.33148854961832	-6.60648854961832	0.21591796875	1.0361328125	-0.4951171875	0.0	-46.76	0.0	-30.037954518777106	-0.5242225919507348	30.037954518777106	-26844.918022708152	-11.33148854961832	0.005	0	0.0	50.450927734375	0.15018977259388552	221	241
2014-03-08_09:48:52_752916	2739743.0	233.0	81.0	-151.0	1.8690839694656494	21.79828244274809	-0.9958015267175574	0.24765625	0.524658203125	-0.943115234375	0.0	-57.06	0.0	-31.638015761160343	-0.5521468719225191	31.638015761160343	-25275.545765305556	21.79828244274809	0.005	0	0.0	49.60400390625	0.15819007880580171	221	240
2014-03-08_09:48:52_803361	2790186.0	45.0	3.0	-404.0	-7.703435114503817	-93.37729007633588	1.5919847328244274	0.74814453125	0.0322265625	1.8203125	0.0	-6.36	0.0	-26.549006276202885	-0.4633334428656699	26.549006276202885	-23945.807414577564	-93.37729007633588	0.005	0	0.0	50.086181640625	0.13274503138101443	222	240
2014-03-08_09:48:52_853078	2839898.0	148.0	-31.0	-245.0	6.731679389312978	10.057824427480915	-12.209541984732825	0.897802734375	0.111328125	-0.6162109375	0.0	-31.14	0.0	-27.13344743569189	-0.47353311406094056	27.13344743569189	-22589.59212479323	10.057824427480915	0.005	0	0.0	49.983154296875	0.13566723717845947	222	239
2014-03-08_09:48:52_903417	2890267.0	174.0	-113.0	-211.0	1.3041984732824434	-2.1024809160305353	-0.19427480916030537	0.60263671875	-0.177490234375	-1.018798828125	0.0	-39.51	0.0	-27.277832187957756	-0.47605291776540587	27.277832187957756	-21223.143218627723	-2.1024809160305353	0.005	0	0.0	50.09375	0.13638916093978878	223	239
2014-03-08_09:48:52_952956	2939782.0	171.0	-15.0	-214.0	1.3347328244274816	-2.789503816793894	-0.766793893129771	0.532080078125	-0.890869140625	-0.593994140625	0.0	-38.63	0.0	-27.368097510634456	-0.4776282288068841	27.368097510634456	-19853.81627340448	-2.789503816793894	0.005	0	0.0	50.03369140625	0.1368404875531723	223	238
2014-03-08_09:48:53_003563	2990390.0	206.0	22.0	-190.0	-1.764503816793893	-7.85820610687023	1.8438931297709922	0.7203125	0.213134765625	-0.662841796875	0.0	-47.32	0.0	-27.38094277586921	-0.4778524044654313	27.38094277586921	-18480.912004732683	-7.85820610687023	0.005	0	0.0	50.140869140625	0.13690471387934605	224	238
2014-03-08_09:48:53_053264	3040091.0	217.0	21.0	-214.0	1.296564885496184	-2.224618320610688	3.195038167938931	0.650732421875	0.250244140625	-0.7548828125	0.0	-45.4	0.0	-27.632513877325568	-0.48224282508421584	27.632513877325568	-17101.229221998405	-2.224618320610688	0.005	0	0.0	49.9296875	0.13816256938662785	224	237
2014-03-08_09:48:53_103826	3090644.0	175.0	36.0	-211.0	-0.19198473282442707	-1.392557251908398	-0.27824427480916036	0.508642578125	-0.416015625	-0.639892578125	0.0	-39.67	0.0	-27.805030752970207	-0.4852535908022724	27.805030752970207	-15709.117679851282	-1.392557251908398	0.005	0	0.0	50.06689453125	0.13902515376485103	225	237
2014-03-08_09:48:53_153681	3140506.0	166.0	-8.0	-214.0	-0.6881679389312967	-4.201717557251909	-1.9347328244274813	0.673193359375	0.62646484375	-0.524658203125	0.0	-37.8	0.0	-27.798372071310197	-0.48513738344345897	27.798372071310197	-14314.170122744552	-4.201717557251909	0.005	0	0.0	50.180908203125	0.13899186035655098	225	236
2014-03-08_09:48:53_204020	3190884.0	157.0	38.0	-192.0	-0.32938931297709884	-1.0872137404580162	2.7064885496183204	0.70615234375	0.50439453125	-0.80322265625	0.0	-39.28	0.0	-27.97462969902911	-0.48821343279282914	27.97462969902911	-12914.851279845314	-1.0872137404580162	0.005	0	0.0	50.02099609375	0.13987314849514554	226	236
2014-03-08_09:48:53_254141	3240963.0	193.0	42.0	-204.0	1.3118320610687029	0.7982824427480906	1.3782442748091603	0.68369140625	-0.333740234375	-0.766845703125	0.0	-43.42	0.0	-28.32256007985856	-0.4942855162278981	28.32256007985856	-11499.234962728828	0.7982824427480906	0.005	0	0.0	49.98193359375	0.1416128003992928	227	235
2014-03-08_09:48:53_304607	3291433.0	171.0	-110.0	-193.0	2.9530534351145046	-5.613931297709925	-2.873664122137405	0.563818359375	-0.625	-0.533935546875	0.0	-41.54	0.0	-28.31140120765473	-0.49409077151229897	28.31140120765473	-10081.031444372431	-5.613931297709925	0.005	0	0.0	50.093017578125	0.14155700603827365	227	235
2014-03-08_09:48:53_354783	3341599.0	195.0	-77.0	-188.0	-0.9400763358778623	1.592175572519083	-1.0034351145038167	0.625341796875	0.503662109375	-0.68017578125	0.0	-46.05	0.0	-28.744372247715805	-0.5016469851259303	28.744372247715805	-8640.619792589006	1.592175572519083	0.005	0	0.0	50.111083984375	0.14372186123857902	228	234
2014-03-08_09:48:53_405389	3392213.0	215.0	0.0	-215.0	-1.0622137404580143	1.1036259541984723	0.6454198473282442	0.57822265625	0.66357421875	-0.66162109375	0.0	-45.0	0.0	-29.123646197145376	-0.5082660767390118	29.123646197145376	-7183.9682052295375	1.1036259541984723	0.005	0	0.0	50.01611328125	0.14561823098572688	228	234
2014-03-08_09:48:53_455133	3441954.0	168.0	49.0	-211.0	0.5942748091603058	0.5387404580152659	2.530916030534351	0.622900390625	-0.02880859375	-0.6435546875	0.0	-38.53	0.0	-29.33818145155705	-0.5120101474966327	29.33818145155705	-5716.443145443473	0.5387404580152659	0.005	0	0.0	50.02099609375	0.14669090725778525	229	233
2014-03-08_09:48:53_506297	3493114.0	190.0	12.0	-219.0	0.296564885496184	-0.7895038167938941	1.9583969465648856	0.710302734375	-0.304443359375	-0.41943359375	0.0	-40.95	0.0	-29.53167274725533	-0.5153869589398836	29.53167274725533	-4239.679261054662	-0.7895038167938941	0.005	0	0.0	50.006103515625	0.14765836373627667	229	232
2014-03-08_09:48:53_555173	3541990.0	162.0	12.0	-231.0	-2.214885496183206	-0.4536259541984744	0.1874045801526717	0.7564453125	-0.407958984375	-0.615478515625	0.0	-35.04	0.0	-29.619643550813546	-0.5169222260176884	29.619643550813546	-2754.8138441129136	-0.4536259541984744	0.005	0	0.0	50.131103515625	0.14809821775406773	230	232
2014-03-08_09:48:53_605642	3592463.0	178.0	49.0	-180.0	3.3576335877862604	1.4318702290076324	-2.232442748091603	0.25595703125	-0.4951171875	-0.388916015625	0.0	-44.68	0.0	-29.991120299264374	-0.5234052408248582	29.991120299264374	-1254.320606640343	1.4318702290076324	0.005	0	0.0	50.03125	0.14995560149632187	230	231
